person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
58,55099,RENT,31.0,PERSONAL,E,5951,18.98,0,0.11,N,19
48,22517,OWN,9.0,MEDICAL,B,7058,7.6,0,0.31,N,27
34,57840,RENT,3.0,PERSONAL,C,8655,11.9,0,0.15,N,2
62,74366,RENT,15.0,HOMEIMPROVEMENT,A,5610,5.28,0,0.08,N,12
27,18090,MORTGAGE,1.0,EDUCATION,B,2084,10.99,1,0.12,N,5
40,59102,MORTGAGE,16.0,MEDICAL,A,8583,5.66,0,0.15,Y,14
58,90566,RENT,17.0,PERSONAL,B,26583,,0,0.29,N,30
38,26773,OWN,16.0,EDUCATION,E,2317,18.2,0,0.09,N,10
42,113129,RENT,6.0,HOMEIMPROVEMENT,A,7880,7.42,0,0.07,N,18
30,60446,MORTGAGE,0.0,PERSONAL,C,3349,11.6,0,0.06,Y,2
30,34457,MORTGAGE,6.0,VENTURE,B,8337,10.1,0,0.24,N,6
43,47672,MORTGAGE,1.0,DEBTCONSOLIDATION,A,8208,5.54,1,0.17,Y,23
55,64806,MORTGAGE,2.0,VENTURE,B,14720,10.94,0,0.23,N,9
59,50919,RENT,17.0,HOMEIMPROVEMENT,B,7881,9.85,0,0.15,N,4
43,64175,RENT,7.0,PERSONAL,A,4722,6.25,0,0.07,N,7
22,30935,RENT,1.0,EDUCATION,C,4693,12.47,0,0.15,N,2
41,53352,RENT,13.0,DEBTCONSOLIDATION,E,16332,18.28,0,0.31,N,9
21,24176,MORTGAGE,1.0,VENTURE,A,5392,6.09,1,0.22,Y,2
43,46369,RENT,20.0,VENTURE,A,8224,6.0,0,0.18,N,13
63,31196,RENT,,VENTURE,B,8802,10.47,1,0.28,N,28
49,33936,RENT,11.0,MEDICAL,C,13527,12.78,1,0.4,N,5
57,90948,MORTGAGE,5.0,PERSONAL,A,23101,7.03,0,0.25,N,35
21,84597,RENT,,HOMEIMPROVEMENT,A,12439,7.04,0,0.15,N,2
40,66474,MORTGAGE,0.0,VENTURE,B,4134,,0,0.06,N,11
52,28391,RENT,23.0,MEDICAL,E,3598,19.94,0,0.13,N,16
31,41847,RENT,6.0,DEBTCONSOLIDATION,B,11377,8.92,0,0.27,N,9
41,89908,RENT,22.0,EDUCATION,B,5052,8.18,0,0.06,N,16
63,52620,MORTGAGE,29.0,EDUCATION,E,13741,19.45,0,0.26,Y,14
44,156320,OWN,10.0,DEBTCONSOLIDATION,C,4824,11.85,0,0.03,N,21
68,59674,MORTGAGE,28.0,HOMEIMPROVEMENT,C,4520,13.71,0,0.08,N,34
46,53961,RENT,9.0,MEDICAL,B,2249,9.42,0,0.04,N,26
61,42000,RENT,30.0,PERSONAL,E,7586,17.82,0,0.18,N,41
47,52405,MORTGAGE,17.0,EDUCATION,C,16565,,0,0.32,N,24
35,45422,RENT,16.0,VENTURE,D,13997,14.41,0,0.31,N,7
34,69846,OWN,6.0,MEDICAL,C,3014,11.73,0,0.04,N,4
66,79090,MORTGAGE,21.0,HOMEIMPROVEMENT,C,5944,11.27,0,0.08,N,17
63,33090,RENT,18.0,DEBTCONSOLIDATION,A,1948,7.28,0,0.06,N,3
22,25194,MORTGAGE,1.0,HOMEIMPROVEMENT,A,1106,5.66,0,0.04,N,2
56,19572,RENT,0.0,EDUCATION,C,3491,11.73,0,0.18,N,35
26,63195,RENT,4.0,HOMEIMPROVEMENT,A,15012,6.81,0,0.24,N,7
40,28234,RENT,0.0,EDUCATION,B,5692,10.18,0,0.2,N,16
28,16706,MORTGAGE,4.0,PERSONAL,A,1154,7.04,0,0.07,N,3
58,59533,RENT,39.0,PERSONAL,C,4240,12.08,0,0.07,N,2
37,170501,MORTGAGE,0.0,MEDICAL,A,14731,7.22,0,0.09,N,16
23,48872,MORTGAGE,,DEBTCONSOLIDATION,D,19018,16.6,1,0.39,N,2
44,74551,OWN,22.0,EDUCATION,B,11130,,0,0.15,N,23
33,51068,OWN,4.0,EDUCATION,A,18916,5.69,0,0.37,N,3
69,46655,RENT,14.0,DEBTCONSOLIDATION,B,8608,9.56,1,0.18,N,25
28,77616,RENT,3.0,PERSONAL,A,28604,6.79,1,0.37,N,6
